iteration,expert feature,trajectory feature,feature norm,weights,cal_expert_idx,expert likeness,mean expert likeness,likelihood
1,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11373111 0.26308973 0.04972566 0.03212489 0.186572   0.83068765
 0.00318246 0.02884947 0.00313971 0.06367517]",0.20669472863364194,"[ 0.03820262 -0.02999214 -0.0010631   0.06204466  0.0433779   0.00113609
 -0.00249555  0.04243214 -0.05516093 -0.02947007]","[array([10,  0, 11]), array([10,  0, 11]), array([10,  0, 11]), array([10,  0, 66]), array([10,  0, 11]), array([10,  0, 11]), array([10,  0, 11]), array([10,  0, 66]), array([10,  0, 11]), array([10,  0, 66]), array([10,  0, 66]), array([10,  0, 66]), array([10,  0, 66]), array([10,  0, 66]), array([10,  0, 66])]","[0.6210803326672034, 0.6156471436734843, 0.6068571787342601, 0.58929234588434, 0.59469850403081, 0.5864850399179145, 0.5797271406336584, 0.5718495629350424, 0.5557157488984485, 0.5467803262725511, 0.5282185562340185, 0.5069193651178651, 0.4842310564269683, 0.4530964440580449, 0.41620230430523447]",0.550453403319323,-4.829605858552154
2,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11327395 0.26241288 0.04799952 0.03158023 0.18463441 0.83089826
 0.0030064  0.02856432 0.00294406 0.06300228]",0.20420120354272522,"[-0.01165366 -0.07988792 -0.05100699  0.01207187 -0.00660729  0.05092416
 -0.05189319  0.09245137 -0.10499946 -0.079454  ]","[array([ 0, 44, 99]), array([ 0, 44, 99]), array([ 0, 44, 99]), array([ 0, 99, 77]), array([ 0, 66, 11]), array([ 0, 66, 11]), array([ 0, 66, 11]), array([  0, 110,  11]), array([ 0, 66, 11]), array([  0, 110,  11]), array([ 0, 77, 99]), array([ 0, 22, 66]), array([ 0, 22, 66]), array([ 0, 22, 66]), array([ 0, 22, 66])]","[0.6499165278699922, 0.6441087224092825, 0.6367448370372815, 0.6379629385284052, 0.6173507134914951, 0.6050792565066544, 0.5929912136980761, 0.5781943805153114, 0.5651721152614925, 0.5473583543669273, 0.5282185562340185, 0.5069193651178651, 0.4842310564269683, 0.4530964440580449, 0.41620230430523447]",0.5642364523884698,-4.811184824613425
3,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.1128504  0.26177438 0.0462756  0.03104946 0.18273647 0.83109079
 0.00284546 0.02828392 0.00276519 0.06234118]",0.20176362914433943,"[-0.06126837 -0.12960914 -0.10085442 -0.03785582 -0.05656804  0.10034659
 -0.10010837  0.14250171 -0.15456463 -0.12941129]","[array([32, 21,  9]), array([32, 21,  9]), array([32, 21,  9]), array([ 9, 32, 31]), array([32, 21,  9]), array([32, 21,  9]), array([31,  9, 21]), array([31, 32, 21]), array([32, 21,  9]), array([31, 32, 21]), array([31, 32, 21]), array([31, 32, 21]), array([31, 32, 21]), array([31, 32, 21]), array([31, 32, 21])]","[0.48743741155118275, 0.4830815362810861, 0.4775586145523643, 0.46430264483811035, 0.4696669516049111, 0.4651725857788273, 0.46157577415091183, 0.4560508028414641, 0.4442930490873296, 0.4395823267255241, 0.4278554646587611, 0.41466515472215804, 0.4012564732168879, 0.38243626435476746, 0.35910892528643595]",0.44226959864338156,-4.793085258865134
4,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11245869 0.2611725  0.04455721 0.03053255 0.18087848 0.83126624
 0.00269879 0.0280084  0.00260216 0.06169214]",0.1993828202353983,"[-0.11054311 -0.17908536 -0.15056295 -0.08772076 -0.10649493  0.14924146
 -0.14638954  0.1925943  -0.20374246 -0.17933153]","[array([121,  19,  54]), array([121,  19,  54]), array([121,  19,  54]), array([121,  72,  96]), array([121,  19,  54]), array([121,  19,  54]), array([121,  19,  54]), array([121,  28,  74]), array([121,  28,  74]), array([121,  28,  74]), array([121,  28,  74]), array([121,  28,  74]), array([121,  28,  74]), array([121,  28,  74]), array([121,  28,  74])]","[8.926164014582658e-05, 9.290497238700261e-05, 9.75502209992497e-05, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",9.477370898131984e-05,-4.77530409981452
5,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11209712 0.26060559 0.04284754 0.03002946 0.17906065 0.83142562
 0.00256557 0.02773789 0.00245404 0.06105539]",0.19705945795353214,"[-0.15937987 -0.22824637 -0.20008815 -0.13750565 -0.15637878  0.19743989
 -0.18979845  0.24273953 -0.2524179  -0.2292045 ]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  50,  65]), array([121,  50,  65]), array([121,  39,  74]), array([121,  39,  74]), array([121,  50,  65]), array([121,  39,  74]), array([121,  39,  74]), array([121,  39,  74]), array([121,  39,  74]), array([121,  39,  74]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.757837737541632
6,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11176401 0.260072   0.04114966 0.02954011 0.1772831  0.83156989
 0.00244497 0.02747253 0.00231995 0.06043115]",0.1947940808375606,"[-0.20768187 -0.2770227  -0.24938373 -0.18719357 -0.2062107   0.24476777
 -0.22923101  0.292947   -0.30047598 -0.27902024]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  50,  65]), array([121,  50,  65]), array([121,  51,  76]), array([121,  50,  65]), array([121,  39,  74]), array([121,  39,  74]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.740681997957077
7,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11145772 0.25957013 0.03946651 0.0290644  0.17554585 0.8317
 0.00233622 0.02721242 0.00219899 0.05981958]",0.19258706878694157,"[-0.25535448 -0.32534596 -0.29840164 -0.23676808 -0.25598213  0.29104776
 -0.2634993   0.34322551 -0.34780293 -0.32876903]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  50,  65]), array([121,  50,  65]), array([121,  51,  76]), array([121,  50,  65]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.7238321254760995
8,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11117659 0.25909835 0.03780094 0.02860219 0.1738488  0.83181691
 0.00223851 0.02695766 0.00209029 0.05922081]",0.19043861850322824,"[-0.30230601 -0.37314921 -0.34709229 -0.28621322 -0.30568481  0.33610163
 -0.29148307  0.3935831  -0.39428732 -0.37844147]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  50,  65]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.707282783701355
9,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11091892 0.25865496 0.03615572 0.0281533  0.17219171 0.83192159
 0.00215102 0.0267083  0.00199294 0.05863494]",0.18834871460509,"[-0.34844845 -0.42036733 -0.39540471 -0.3355136  -0.35531087  0.3797527
 -0.31231747  0.44402698 -0.43982115 -0.42802848]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  50,  65]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.6910281025714875
10,"[ 1.07023839e-01  2.50700379e-01 -5.05450654e-05  4.79148806e-09
  1.36476136e-04  8.33340981e-01  2.04259163e-03  4.24000631e-02
  0.00000000e+00  0.00000000e+00]","[0.11068292 0.25823819 0.03453357 0.02771749 0.17057416 0.83201506
 0.00207291 0.02646441 0.00190598 0.05806199]",0.1863171083113353,"[-0.39369796 -0.46693716 -0.44328677 -0.38465442 -0.40485278  0.42182838
 -0.32554288  0.49456357 -0.48430067 -0.47752137]","[array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  72,  96]), array([121,  50,  65]), array([121,  51,  76]), array([121,  72,  96]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76]), array([121,  51,  76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 2.0071581757465187e-09, 0.00010186903921839793, 0.0001059741119138685, 0.00010878164052123643, 0.00010983521548433119, 0.00010833184917593015, 0.00010519778357023631, 0.00010135050786798968, 9.467701191397056e-05, 8.888419304978014e-05, 8.367333479246253e-05, 7.322655740078047e-05, 6.0087556278734904e-05]",7.612605513850975e-05,-4.675061792285102
