iteration,expert feature,trajectory feature,feature norm,weights,cal_expert_idx,expert likeness,mean expert likeness,likelihood
1,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29368797 0.22964616 0.04999389 0.03210132 0.18622301 0.83080231
 0.00257496 0.1415233  0.00303571 0.15709986]",0.2880355170072184,"[ 0.03820263 -0.02999213 -0.0010631   0.06204466  0.0433779   0.00113609
 -0.00249557 -0.05756786 -0.05516093 -0.02947007]","[array([ 0, 11, 88]), array([ 0, 11, 88]), array([ 0, 11, 88]), array([ 0, 11, 88]), array([  0, 110,  99]), array([  0, 110,  99]), array([  0, 110,  99]), array([  0, 110,  99]), array([  0, 110,  99]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([ 0, 66, 88]), array([10,  0, 66]), array([10,  0, 66])]","[0.6499165278699922, 0.6441087224092825, 0.6366960778682945, 0.632677067158548, 0.6182457376033098, 0.6050584771185878, 0.5929524558590276, 0.5783860980847495, 0.5682027744237241, 0.5476132929070512, 0.5281983833367926, 0.5069086888721567, 0.48423068814598375, 0.4530862552148013, 0.4182658501518284]",0.5643031398016087,-4.830550935846928
2,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29347267 0.22949149 0.04731518 0.03131653 0.18335003 0.83092255
 0.00249184 0.13933222 0.00292466 0.15455255]",0.28315858903539887,"[-0.01167204 -0.0798509  -0.05096977  0.012084   -0.0065998   0.0510045
 -0.0523981  -0.10754528 -0.10505935 -0.07944645]","[array([ 0, 44, 99]), array([ 0, 44, 99]), array([ 0, 44, 99]), array([ 0, 33, 99]), array([31, 32, 21]), array([20, 32,  9]), array([32, 31, 21]), array([32, 31,  9]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([32,  9, 21]), array([19, 40, 41])]","[0.6499165278699922, 0.6441087224092825, 0.6366960778682945, 0.632677067158548, 0.4687576514421663, 0.4651940845796904, 0.46161737147823567, 0.45583991139347835, 0.44095147848202076, 0.439290709101739, 0.4278785500926969, 0.4146772286549654, 0.4012568894956963, 0.38244777808363595, 0.24419957561633515]",0.4777006415817851,-4.806231427957211
3,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29326279 0.22934044 0.04469133 0.03055181 0.18053216 0.83103767
 0.00241222 0.13718112 0.00281828 0.15205114]",0.2783865407791702,"[-0.06132741 -0.12946002 -0.10071577 -0.03781106 -0.05654049  0.10064407
 -0.10213324 -0.1574852  -0.15478343 -0.12938356]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 65, 62]), array([75, 87, 65]), array([121,  72,  96]), array([75, 64, 51]), array([75, 64, 51]), array([75, 76, 74]), array([75, 76, 74]), array([75, 76, 74]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.002941842900750619, 0.0031217095788454515, 0.15920028992544918, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.09202915621194059,-4.782509771169757
4,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29305851 0.22919316 0.0421253  0.02980754 0.17777139 0.83114769
 0.0023361  0.13507182 0.00271655 0.14959767]",0.2737229636874738,"[-0.11066136 -0.17869939 -0.15023003 -0.08761438 -0.10642967  0.14995031
 -0.15162742 -0.20737288 -0.2042568  -0.17926593]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.002941842900750619, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08188400678018157,-4.759383263640111
5,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29285999 0.22904978 0.03961982 0.02908401 0.17506945 0.83125265
 0.00226345 0.13300595 0.00261945 0.14719392]",0.26917093771226713,"[-0.1595634  -0.22743659 -0.19943794 -0.13730012 -0.15625312  0.1988115
 -0.20080365 -0.25719382 -0.25339969 -0.22907831]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 65, 62]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.736847883505932
6,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29266737 0.22891042 0.03717741 0.02838141 0.17242778 0.8313526
 0.00219424 0.13098497 0.00252693 0.14484146]",0.26473302206769106,"[-0.20791452 -0.27552638 -0.24826157 -0.18684279 -0.20599696  0.24710886
 -0.2495817  -0.30693386 -0.30212917 -0.27880581]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 106,  83]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.714898314178208
7,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29248075 0.22877516 0.03480036 0.02769986 0.16984757 0.83144763
 0.00212841 0.12901014 0.00243892 0.14254165]",0.2604112514663893,"[-0.25558723 -0.3228103  -0.29661993 -0.23621745 -0.25564771  0.29471685
 -0.29787839 -0.35657924 -0.35035953 -0.32843388]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.693527979124029
8,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29230024 0.2286441  0.03249072 0.02703938 0.16732972 0.8315378
 0.00206592 0.12708251 0.00235535 0.1402956 ]",0.256207137701784,"[-0.3024457  -0.36911659 -0.34442929 -0.28539978 -0.30519236  0.34150365
 -0.34560786 -0.40611664 -0.39800256 -0.37794844]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.672729085771639
9,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.2921259  0.22851731 0.0302503  0.02639995 0.16487486 0.83162324
 0.00200669 0.12520295 0.00227613 0.13810421]",0.25212167635295135,"[-0.34834615 -0.41426054 -0.3916036  -0.33436619 -0.35461838  0.38733178
 -0.39268199 -0.45553328 -0.44496806 -0.42733592]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.652492678110865
10,"[0.28972807 0.22675058 0.         0.         0.         0.83334098
 0.         0.         0.         0.        ]","[0.29195779 0.22839484 0.02808068 0.02578143 0.16248337 0.83170405
 0.00195065 0.12337215 0.00220116 0.13596815]",0.24815535831036098,"[-0.39313743 -0.45804521 -0.43805488 -0.38309393 -0.40391383  0.43205903
 -0.43901081 -0.5048169  -0.49116425 -0.47658332]","[array([ 60, 108,  98]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([121,  72,  96]), array([ 60, 108,  98]), array([ 60, 108,  98]), array([75, 87, 65]), array([75, 87, 65]), array([121,  72,  96]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76]), array([86, 62, 76])]","[1.2084952854814081e-11, 6.646798728116969e-12, 5.085666737569775e-05, 0.00010186903921839793, 0.0031217095788454515, 0.007023048449063763, 0.1602233034205105, 0.16041000078616735, 0.00010519778357023631, 0.15874224910367699, 0.15634453001880952, 0.15156367894925812, 0.14847433525082557, 0.14391977247522794, 0.13533957629990995]",0.08169467518941274,-4.632808697524884
